"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/HexGrids/HexGrids/Materials/M_WaterPlane.M_WaterPlane","0","0","42","1","0.000000","0","0"
"/HexGrids/HexGrids/Materials/M_Hex.M_Hex","0","0","42","1","0.000000","0","0"
"/HexGrids/HexGrids/Materials/M_Hex_Simple.M_Hex_Simple","0","0","42","1","0.000000","0","0"
"/HexGrids/HexGrids/Materials/M_Arrow_Spline.M_Arrow_Spline","0","0","60","1","0.000000","0","0"
"/Game/TopDownBP/Blueprints/M_Cursor_Decal.M_Cursor_Decal","0","0","31","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","156","2","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_3.MaterialInstanceDynamic_3","0","0","24","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_2.MaterialInstanceDynamic_2","0","0","24","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_1.MaterialInstanceDynamic_1","0","0","24","1","0.000000","0","0"
"/Game/BossyEnemy/Materials/MaterialInstanceDynamic_0.MaterialInstanceDynamic_0","0","0","24","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Stylized_Labs/Stylized_Hexagon_Forest/Materials/Master_Materials/M_Environment_Road.M_Environment_Road","0","0","98","1","0.000000","0","0"
"/Game/Stylized_Labs/Stylized_Hexagon_Forest/Materials/Master_Materials/M_Environment_Master.M_Environment_Master","0","0","392","4","0.000000","0","0"
"/Game/Stylized_Labs/Stylized_Hexagon_Forest/Materials/Master_Materials/M_Grass_Tile_Master.M_Grass_Tile_Master","0","0","196","2","0.000000","0","0"
"/Game/Stylized_Labs/Stylized_Hexagon_Forest/Materials/Master_Materials/M_Foliage_Master.M_Foliage_Master","0","0","196","4","0.000000","0","0"
"/Game/Stylized_Labs/Stylized_Hexagon_Forest/Materials/Master_Materials/M_Water_Master.M_Water_Master","0","0","60","2","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
